,movies,rating,year,country,genr,director,actor
18,教父,9.2,1972,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 马龙·白兰度 M...
19,熔炉,9.3,2011,韩国,剧情, 黄东赫 Dong-hyuk Hwang, 孔侑 Yoo Gong / 郑有美 Yu-mi Jeong ...
20,无间道,9.1,2002,香港,剧情 犯罪 悬疑, 刘伟强 / 麦兆辉, 刘德华 / 梁朝伟 / 黄秋生
21,疯狂动物城,9.2,2016,美国,喜剧 动画 冒险, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore, 金妮弗·...
22,当幸福来敲门,9.0,2006,美国,剧情 传记 家庭, 加布里尔·穆奇诺 Gabriele Muccino, 威尔·史密斯 Will Smith ...
23,怦然心动,9.0,2010,美国,剧情 喜剧 爱情, 罗伯·莱纳 Rob Reiner, 玛德琳·卡罗尔 Madeline Carroll / 卡...
24,触不可及,9.2,2011,法国,剧情 喜剧, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,None
25,蝙蝠侠：黑暗骑士,9.1,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ...
26,乱世佳人,9.2,1939,美国,剧情 历史 爱情 战争, 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor, 费...
27,活着,9.2,1994,中国大陆 香港,剧情 历史 家庭, 张艺谋 Yimou Zhang, 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
28,少年派的奇幻漂流,9.0,2012,美国 台湾 英国 加拿大,剧情 奇幻 冒险, 李安 Ang Lee, 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
29,控方证人,9.6,1957,美国,剧情 犯罪 悬疑, 比利·怀尔德 Billy Wilder, 泰隆·鲍华 Tyrone Power / 玛琳·...
30,天堂电影院,9.2,1988,意大利 法国,剧情 爱情, 朱塞佩·托纳多雷 Giuseppe Tornatore, 安东内拉·阿蒂利 Anton...
31,鬼子来了,9.2,2000,中国大陆,剧情 历史 战争, 姜文 Wen Jiang, 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
32,指环王3：王者无敌,9.1,2003,美国 新西兰,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson, 维果·莫腾森 Viggo Mortensen / ...
33,十二怒汉,9.4,1957,美国,剧情, Sidney Lumet, 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
34,天空之城,9.1,1986,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
35,摔跤吧！爸爸,9.0,2016,印度,剧情 传记 运动 家庭, 涅提·蒂瓦里 Nitesh Tiwari, 阿米尔·汗 Aamir Khan / 法缇玛...
36,飞屋环游记,8.9,2009,美国,剧情 喜剧 动画 冒险, 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson, 爱德...
37,大话西游之月光宝盒,9.0,1995,香港 中国大陆,喜剧 爱情 奇幻 古装, 刘镇伟 Jeffrey Lau, 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
38,搏击俱乐部,9.0,1999,美国 德国,剧情 动作 悬疑 惊悚, 大卫·芬奇 David Fincher, 爱德华·诺顿 Edward Norton / 布拉...
39,罗马假日,9.0,1953,美国,喜剧 剧情 爱情, 威廉·惠勒 William Wyler, 奥黛丽·赫本 Audrey Hepburn / 格...
40,哈尔的移动城堡,9.0,2004,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki, 倍赏千惠子 Chieko Baishô / 木村拓...
41,闻香识女人,9.0,1992,美国,剧情, 马丁·布莱斯 Martin Brest, 阿尔·帕西诺 Al Pacino / 克里斯...
42,辩护人,9.2,2013,韩国,剧情, 杨宇硕 Woo-seok Yang, 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
43,窃听风暴,9.1,2006,德国,剧情 悬疑, 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck,None
44,末代皇帝,9.1,1987,英国 意大利 中国大陆 法国 美国,剧情 传记 历史, 贝纳尔多·贝托鲁奇 Bernardo Bertolucci, 尊龙 John Lone / 陈...
45,两杆大烟枪,9.1,1998,英国,剧情 喜剧 犯罪, Guy Ritchie, Jason Flemyng / Dexter Fletcher / Nick Moran
46,飞越疯人院,9.1,1975,美国,剧情, 米洛斯·福尔曼 Miloš Forman, 杰克·尼科尔森 Jack Nichols...
47,死亡诗社,9.0,1989,美国,剧情, 彼得·威尔 Peter Weir, 罗宾·威廉姆斯 Robin Williams / 罗伯...
48,素媛,9.2,2013,韩国,剧情, 李濬益 Jun-ik Lee, 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
49,寻梦环游记,9.0,2017,美国,喜剧 动画 奇幻 音乐, 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina, ...
50,指环王2：双塔奇兵,9.0,2002,美国 新西兰,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩...
51,教父2,9.2,1974,美国,剧情 犯罪, 弗朗西斯·福特·科波拉 Francis Ford Coppola, 阿尔·帕西诺 A...
52,V字仇杀队,8.8,2005,美国 英国 德国,剧情 动作 科幻 惊悚, 詹姆斯·麦克特格 James McTeigue, 娜塔莉·波特曼 Natalie Por...
53,指环王1：魔戒再现,9.0,2001,新西兰 美国,剧情 动作 奇幻 冒险, 彼得·杰克逊 Peter Jackson, 伊利亚·伍德 Elijah Wood / 西恩...
54,海豚湾,9.3,2009,美国,纪录片, 路易·西霍尤斯 Louie Psihoyos, Richard O'Barry / 路易·西霍...
55,饮食男女,9.1,1994,台湾 美国,剧情 家庭, 李安 Ang Lee, 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
56,狮子王,9.0,1994,美国,剧情 动画 冒险 歌舞 家庭, Roger Allers / 罗伯·明可夫 Rob Minkoff, 乔纳森·泰勒·托马...
57,美丽心灵,8.9,2001,美国,传记 剧情, 朗·霍华德 Ron Howard, 罗素·克劳 Russell Crowe / 艾德·哈...
58,情书,8.9,1995,日本,剧情 爱情, 岩井俊二 Shunji Iwai, 中山美穗 Miho Nakayama / 丰川悦司 Ets...
59,钢琴家,9.1,2002,法国 德国 英国 波兰,剧情 传记 历史 战争 音乐, 罗曼·波兰斯基 Roman Polanski, 艾德里安·布洛迪 Adrien Brod...
60,本杰明·巴顿奇事,8.8,2008,美国,剧情 爱情 奇幻, 大卫·芬奇 David Fincher, 凯特·布兰切特 Cate Blanchett / ...
61,美国往事,9.1,1984,意大利 美国,犯罪 剧情, 赛尔乔·莱翁内 Sergio Leone, 罗伯特·德尼罗 Robert De Niro ...
62,看不见的客人,8.8,2016,西班牙,剧情 犯罪 悬疑 惊悚, 奥里奥尔·保罗 Oriol Paulo, 马里奥·卡萨斯 Mario Casas / 阿...
